张哥有话要说,#genre#
💝重要通知,https://codeberg.org/SVIP1103950274/Ziyong2024/raw/branch/main/zhanggezhibo2024.mp4
💝完全免费,https://migu.mytvsuper.xyz/673168256?sign=gAAAAABnSYtmOfgTf-7XpDmfSAonZSf1yI8ZGamvz46Lg58uty_fFvzfNmDjhuIzlBc3EgI3UUe2Fes-0v9aZqr20cv1Xey6mVsuIOZJiLa__7HPfwnp9YaH4qRsljWLJ2FFTG63ViUYZM52LTD7zKGNsClNySWZysWXId2Heq72ss2pfPdBtZxGvC-uEzAdMHvlV32goDDf3NrUzmCMfL5iQ6HL-iSKRA%3D%3D$高清4K
💝QQ1103950274,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
💝把家里路由器,http://118.81.200.235:8085/rtp/226.0.2.197:9488
💝IPV6打开,http://[2409:8087:1a01:df::4021]:80/TVOD/88888888/224/3221225555/main.m3u8
💝接受赞助,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010003/1.m3u8
💝卡顿检查网络,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000004000018653/1.m3u8
💝或者换线路,http://[2409:8087:1a0b:df::4006]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
💝已更新EPG版本,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000003000012426/1.m3u8
💝联系作者更新,http://[2409:8087:1a01:df::4021]:80/TVOD/88888888/224/3221225644/main.m3u8
💝长期维护,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
💝永久免费,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
💝禁止扒源,http://beishan008.asuscomm.com:8890/bysid/82
💝IPV6专用,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
241213更新,#genre#
CHC动作电影,http://171.119.207.28:6000/rtp/226.0.2.94:8012
CHC家庭影院,http://171.119.207.28:6000/rtp/226.0.2.240:9820
CHC影迷电影,http://171.119.207.28:6000/rtp/226.0.2.93:8004

辽宁组播,#genre#
辽宁卫视,http://175.150.159.247:9011/rtp/232.0.0.126:1234
辽宁都市,http://175.150.159.247:9011/rtp/232.0.0.154:1234
辽宁影视剧,http://175.150.159.247:9011/rtp/232.0.0.25:1234
辽宁体育,http://175.150.159.247:9011/rtp/232.0.0.164:1234
辽宁生活,http://175.150.159.247:9011/rtp/232.0.0.150:1234
辽宁教育青少,http://175.150.159.247:9011/rtp/232.0.0.241:1234
辽宁北方,http://175.150.159.247:9011/rtp/232.0.0.151:1234
辽宁宜佳购物,http://175.150.159.247:9011/rtp/232.0.0.30:1234
辽宁公共,http://175.150.159.247:9011/rtp/232.0.0.168:1234
辽宁经济,http://175.150.159.247:9011/rtp/232.0.0.156:1234

CCTV-1综合,http://175.150.159.247:9011/rtp/232.0.0.27:1234
CCTV-2财经,http://175.150.159.247:9011/rtp/232.0.0.135:1234
CCTV-3综艺,http://175.150.159.247:9011/rtp/232.0.0.170:1234
CCTV-4国际,http://175.150.159.247:9011/rtp/232.0.0.201:1234
CCTV-5体育,http://175.150.159.247:9011/rtp/232.0.0.171:1234
CCTV-6电影,http://175.150.159.247:9011/rtp/232.0.0.172:1234
CCTV-7国防军事,http://175.150.159.247:9011/rtp/232.0.0.136:1234
CCTV-8电视剧,http://175.150.159.247:9011/rtp/232.0.0.173:1234
CCTV-9纪录,http://175.150.159.247:9011/rtp/232.0.0.137:1234
CCTV-10科教,http://175.150.159.247:9011/rtp/232.0.0.138:1234
CCTV-11戏曲,http://175.150.159.247:9011/rtp/232.0.0.178:1234
CCTV-12社会与法,http://175.150.159.247:9011/rtp/232.0.0.139:1234
CCTV-13新闻,http://175.150.159.247:9011/rtp/232.0.0.15:1234
CCTV-14少儿,http://175.150.159.247:9011/rtp/232.0.0.140:1234
CCTV-15音乐,http://175.150.159.247:9011/rtp/232.0.0.179:1234
CCTV-16奥林匹克,http://175.150.159.247:9011/rtp/232.0.0.182:1234
CCTV-17高清,http://175.150.159.247:9011/rtp/232.0.0.230:1234
CCTV5+体育赛事,http://175.150.159.247:9011/rtp/232.0.0.93:1234
CGTN-英语新闻,http://175.150.159.247:9011/rtp/232.0.0.188:1234
CGTN-纪录(国际版),http://175.150.159.247:9011/rtp/232.0.0.198:1234
CGTN-俄语国际,http://175.150.159.247:9011/rtp/232.0.0.28:1234
CGTN-西班牙语国际,http://175.150.159.247:9011/rtp/232.0.0.6:1234
CGTN-阿拉伯语国际,http://175.150.159.247:9011/rtp/232.0.0.43:1234
CGTN-法语国际,http://175.150.159.247:9011/rtp/232.0.0.8:1234


移动电视,http://175.150.159.247:9011/rtp/232.0.0.165:1234
家有购物,http://175.150.159.247:9011/rtp/232.0.0.225:1234
央广购物,http://175.150.159.247:9011/rtp/232.0.0.240:1234
聚鲨环球精选,http://175.150.159.247:9011/rtp/232.0.0.207:1234
沈阳新闻综合,http://175.150.159.247:9011/rtp/232.0.0.206:1234
CCTV中视购物,http://175.150.159.247:9011/rtp/232.0.0.202:1234
北京卫视,http://175.150.159.247:9011/rtp/232.0.0.117:1234
天津卫视,http://175.150.159.247:9011/rtp/232.0.0.125:1234
上海东方卫视,http://175.150.159.247:9011/rtp/232.0.0.122:1234
浙江卫视,http://175.150.159.247:9011/rtp/232.0.0.123:1234
江苏卫视,http://175.150.159.247:9011/rtp/232.0.0.116:1234
安徽卫视,http://175.150.159.247:9011/rtp/232.0.0.141:1234
湖南卫视,http://175.150.159.247:9011/rtp/232.0.0.115:1234
贵州卫视,http://175.150.159.247:9011/rtp/232.0.0.181:1234
山东卫视,http://175.150.159.247:9011/rtp/232.0.0.131:1234
山西卫视,http://175.150.159.247:9011/rtp/232.0.0.86:1234
广东卫视,http://175.150.159.247:9011/rtp/232.0.0.130:1234
广西卫视,http://175.150.159.247:9011/rtp/232.0.0.76:1234
湖北卫视,http://175.150.159.247:9011/rtp/232.0.0.124:1234
江西卫视,http://175.150.159.247:9011/rtp/232.0.0.82:1234
河北卫视,http://175.150.159.247:9011/rtp/232.0.0.49:1234
河南卫视,http://175.150.159.247:9011/rtp/232.0.0.80:1234
四川卫视,http://175.150.159.247:9011/rtp/232.0.0.185:1234
重庆卫视,http://175.150.159.247:9011/rtp/232.0.0.186:1234
福建东南卫视,http://175.150.159.247:9011/rtp/232.0.0.74:1234
海南卫视,http://175.150.159.247:9011/rtp/232.0.0.26:1234
青海卫视,http://175.150.159.247:9011/rtp/232.0.0.101:1234
云南卫视,http://175.150.159.247:9011/rtp/232.0.0.40:1234
陕西卫视,http://175.150.159.247:9011/rtp/232.0.0.35:1234
内蒙古卫视,http://175.150.159.247:9011/rtp/232.0.0.111:1234
宁夏卫视,http://175.150.159.247:9011/rtp/232.0.0.34:1234
吉林卫视,http://175.150.159.247:9011/rtp/232.0.0.180:1234
新疆卫视,http://175.150.159.247:9011/rtp/232.0.0.18:1234
甘肃卫视,http://175.150.159.247:9011/rtp/232.0.0.50:1234
西藏卫视,http://175.150.159.247:9011/rtp/232.0.0.114:1234
黑龙江卫视,http://175.150.159.247:9011/rtp/232.0.0.95:1234
深圳卫视,http://175.150.159.247:9011/rtp/232.0.0.110:1234
厦门卫视,http://175.150.159.247:9011/rtp/232.0.0.160:1234
中国教育1,http://175.150.159.247:9011/rtp/232.0.0.212:1234
CETV2,http://175.150.159.247:9011/rtp/232.0.0.238:1234
CETV4,http://175.150.159.247:9011/rtp/232.0.0.239:1234
